id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
399314,Antharya,"Rajarajeshwari Nagar,Bangalore",--,Too Few Ratings,� 500,Indian,1.12E+13,https://www.swiggy.com/restaurants/antharya-rajarajeshwari-nagar-bangalore-399314,"Antharya, BEML Layout 5th Stage, 5th Stage, RR Nagar, Bengaluru, Karnataka 560098, India",Menu/399314.json
515306,Gusto Cafe,"Wakad,Pune",--,Too Few Ratings,� 200,"Fast Food,Pizzas",2.15E+13,https://www.swiggy.com/restaurants/gusto-cafe-wakad-pune-515306,"Gusto Cafe, SR NO 130/1/7 KALA KHADAK BAWALE T/F WAKAD, PUNE PCMC ward No-53, Pune PCMC, Maharashtra - 411057",Menu/515306.json
18209,Oh My Box,"Indirapuram,Delhi",--,Too Few Ratings,� 600,"North Indian,Combo",license,https://www.swiggy.com/restaurants/oh-my-box-neeti-khand-2-indirapuram-noida-1-18209,"Oh My Box, SD 194 Jaipuria Sunrise plaza Ahinsa khand 1",Menu/18209.json
424577,Meals101,"Kothapet & Dilsukhnagar,Hyderabad",2.6,20+ ratings,� 350,"Asian,North Indian",1.36E+13,https://www.swiggy.com/restaurants/meals101-kothapet-and-dilsukhnagar-dilsukh-nagar-hyderabad-424577,"Meals101, """"""House No. 1-7-207 Road  No.12,13 Chaitanyapuri,Kothapet,Uppal Mandal,Under GMHC,saroornagar,circle,Medch al-Malkajgiri district,Hyderabad,Mechal,Med  chal- Malkajgiri,Telangana.50006",Menu/424577.json
563810,FLAVORS OF UTTAR PRADESH,Noida-1,--,Too Few Ratings,� 200,"North Indian,Indian",2.27E+13,https://www.swiggy.com/restaurants/flavors-of-uttar-pradesh-noida-expressway-noida-1-563810,"FLAVORS OF UTTAR PRADESH, G-12 pacific mall, pitampura new Delhi ",Menu/563810.json
494675,YADAV DOODH DAIRY AND SWEETS,"Gomti Nagar,Lucknow",4.3,100+ ratings,� 250,Sweets,2.27E+13,https://www.swiggy.com/restaurants/yadav-doodh-dairy-and-sweets-gomti-nagar-lucknow-494675,"YADAV DOODH DAIRY AND SWEETS, VIVEK KHAND 2 GOMTI NAGAR  LUCKNOW",Menu/494675.json
389140,Brownie Bites,"Basaveshwaranagar,Bangalore",--,Too Few Ratings,� 400,"Chinese,Continental",2.12E+13,https://www.swiggy.com/restaurants/brownie-bites-basaveshwaranagar-bangalore-389140,"Brownie Bites, No.355, 3rd Cross Rd, Bovi Colony, Basaveshwar Nagar, 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079, India",Menu/389140.json
399602,Bhavani fast foods,Khammam,3.8,50+ ratings,� 200,Chinese,2.36E+13,https://www.swiggy.com/restaurants/bhavani-fast-foods-lenin-nagar-khammam-399602,"Bhavani fast foods, 11-10-268/4,new busstand,mainentrance gate,road nsp,dorepallibank,khammam,507002",Menu/399602.json
3855,Uncle's Chinese,"Kalyani Nagar,Pune",4.1,500+ ratings,� 350,"Chinese,Thai",1.15E+13,https://www.swiggy.com/restaurants/uncles-chinese-koregaon-park-pune-3855,"Uncle's Chinese, 3 & 5, A/10, Meera Garden Society, Lane 7, Off North Main Road, Koregaon Park, Pune",Menu/3855.json
469711,THE BIRYANI EXCHANGE,Karad,--,Too Few Ratings,� 400,"Biryani,Snacks",2.15E+13,https://www.swiggy.com/restaurants/the-biryani-exchange-karad-karad-469711,"THE BIRYANI EXCHANGE, MORYA COMPLEX,DHEBEWADI PHATA,MALKAPUR, Karad, Satara, Maharashtra - 415539",Menu/469711.json
549062,The Crazy Food,Ambala,--,Too Few Ratings,� 80,"Chinese,Pizzas",2.08E+13,https://www.swiggy.com/restaurants/the-crazy-food-ambala-city-ambala-549062,"The Crazy Food, Jalbera Rd, Parshuram Nagar, Ambala, Haryana 134003, India",Menu/549062.json
504177,Anna Purna Khanawal,"Virar,Mumbai",--,Too Few Ratings,� 200,"South Indian,Indian",2.15E+13,https://www.swiggy.com/restaurants/anna-purna-khanawal-virar-mumbai-504177,"Anna Purna Khanawal, Anna purna Khanawal, Shop No-10, Agarwal life style global city,Virar West, vasai, Maharashtra 401303",Menu/504177.json
206406,Jyo's,"Kirti Nagar,Delhi",--,Too Few Ratings,� 350,"Chinese,Indian",2.33E+13,https://www.swiggy.com/restaurants/jyos-kirti-nagar-moti-nagar-delhi-206406,"Jyo's, B9, 1ST FLOOR, , First Floor, MOTI NAGAR, Delhi",Menu/206406.json
512502,Vennela Kichidi and Parota Hotel,Markapur,--,Too Few Ratings,� 200,Indian,license,https://www.swiggy.com/restaurants/vennela-kichidi-and-parota-hotel-jawahar-nagar-colony-markapur-512502,"Vennela Kichidi and Parota Hotel, Near Naguluputta Anjaneya swami temple, Beside PLP Indian Gas, Cumbum road, Markapur, Prakasam, , Andhra Pradesh, 523316",Menu/512502.json
427144,Firangi Bake,Nellore,--,Too Few Ratings,� 400,"Italian,Mexican",1.01E+13,https://www.swiggy.com/restaurants/firangi-bake-magunta-layout-nellore-427144,"Firangi Bake, Address -  CXMG+75J,vani para mount 1st floor paradise biryani,Central Avenue, d mart road,Magunta Layout, Nellore, Andhra Pradesh 524003",Menu/427144.json
207982,Riviera Restaurant,"Navrangpura,Ahmedabad",4.1,20+ ratings,� 400,"North Indian,Chinese",1.07E+13,https://www.swiggy.com/restaurants/riviera-restaurant-navrangpura-ahmedabad-207982,"Riviera Restaurant, 66/1, Shanti Chambers, Opposite Dinesh Hall, Ashram Road, Ahmedabad",Menu/207982.json
438353,ANNA BUDDHE,Uran-islampur,--,Too Few Ratings,� 300,"Sweets,Desserts",2.15E+13,https://www.swiggy.com/restaurants/anna-buddhe-uran-islampur-uran-islampur-438353,"ANNA BUDDHE, NEAR THASIL OFFICE ISLAMPUR WALWA SANGLI URAN ISLAMPUR",Menu/438353.json
567616,MUSK BOWLS,Bhilai,--,Too Few Ratings,� 300,"North Indian,Snacks",2.22E+13,https://www.swiggy.com/restaurants/musk-bowls-nehru-nagar-bhilai-567616,"MUSK BOWLS, NEHRU NAGAR , EAST BHILAI, MOTILAL NEHRU NAGAR, BHILAI DURG ,CHATTISGARH",Menu/567616.json
414953,Paavanam,Faridabad,4.5,100+ ratings,� 300,"South Indian,Desserts",1.08E+13,https://www.swiggy.com/restaurants/paavanam-sector-15-faridabad-414953,"Paavanam, BR-301, 81 High Street, Sector-81, Faridabad, Haryana, 121001",Menu/414953.json
557757,AASHIKA BIRIYANI,Kumbakonam,--,Too Few Ratings,� 150,"Biryani,Indian",1.24E+13,https://www.swiggy.com/restaurants/aashika-biriyani-satyam-nagar-kumbakonam-557757,"AASHIKA BIRIYANI, 7,8 JOHN SELVARAJ NAGAR,KUMBAKONAM-612001",Menu/557757.json
409040,The Food Hut,Bhiwadi,--,Too Few Ratings,� 200,Fast Food,2.22E+13,https://www.swiggy.com/restaurants/the-food-hut-central-bhiwadi-bhiwadi-409040,"The Food Hut, Burhi Bawal - Dharuhera Rd, Rajasthan 123106, India",Menu/409040.json
358564,Raju Sunita Chiness Fast Food,"Akota,Vadodara",--,Too Few Ratings,� 250,"Street Food,Fast Food",2.07E+13,https://www.swiggy.com/restaurants/raju-sunita-chiness-fast-food-akota-diwalipura-vadodara-358564,"Raju Sunita Chiness Fast Food, NEW COURT ROAD, DIWALIPURA, VADODARA-",Menu/358564.json
13299,Uttar Bhojan,"Porur,Chennai",4.3,100+ ratings,� 200,"North Indian,South Indian",1.24E+13,https://www.swiggy.com/restaurants/uttar-bhojan-valsaravakkam-valasaravakkam-chennai-13299,"Uttar Bhojan, PLOT NO.6, KAMAKSHI NAGAR, SANNADHI STREET, VALASARAVAKKAM - 600087, CHENNAI",Menu/13299.json
237134,Surabhi Manair family Restaurant,Karimnagar,2.8,20+ ratings,� 249,Biryani,1.36E+13,https://www.swiggy.com/restaurants/surabhi-manair-family-restaurant-islampura-kothirampur-karimnagar-237134,"Surabhi Manair family Restaurant, beside Honda City showroom, near NTR statue, kothiRampur, Karimnagar",Menu/237134.json
551550,Farm Fusion,Noida-1,--,Too Few Ratings,� 300,"North Indian,Chinese",2.27E+13,https://www.swiggy.com/restaurants/farm-fusion-noida-expressway-noida-1-551550,"Farm Fusion, 15/16 Phase No 2B Green beauty farm Sector 135 Noida, DADRI, DADRI TEHSIL -1,Gautam Buddha Nagar , Uttar Pradesh - 201304",Menu/551550.json
508194,Ganpati Bhojnaly,"Dwarka,Delhi",--,Too Few Ratings,� 300,"North Indian,Indian",license,https://www.swiggy.com/restaurants/ganpati-bhojnaly-kakrola-dwarka-delhi-508194,"Ganpati Bhojnaly, Plot No-1 G/F Shop No-2 Kh no \r\n-15/21,22,23, 16/25 Chandra park \r\nold palam road Kakrola New \r\nDelhi-110078, DWARKA, South \r\nWest , , Delhi, 110078\r",Menu/508194.json
65682,The Shake Maker,"Athwa,Surat",3.9,50+ ratings,� 250,Beverages,1.07E+13,https://www.swiggy.com/restaurants/the-shake-maker-athwagate-athwa-gate-surat-65682,"The Shake Maker, E Neelgagan Apartment, Athwagate, Athwa, Surat",Menu/65682.json
